date,open,high,low,close,volume,amount
2013-02-21,21796.10,22039.10,21054.10,21389.20,24562421760.00,239191982080.00
2013-02-22,21054.00,21463.60,20769.60,21035.30,16862532608.00,170906206208.00
2013-02-25,20734.00,21136.90,20495.90,20852.70,15670464512.00,156499623936.00
2013-02-26,20838.30,21341.50,20446.50,20679.90,20233439232.00,203459248128.00
2013-02-27,20460.30,20901.50,20183.10,20559.20,17019695104.00,169543106560.00
2013-02-28,20738.20,21309.80,20479.50,21174.90,21486350336.00,214072655872.00
2013-03-01,21233.40,21658.90,20906.20,21416.80,21451329536.00,219451293696.00
2013-03-04,21701.30,22021.00,20839.00,21139.20,28242864128.00,272405413888.00
2013-03-05,21203.70,21947.60,20980.20,21799.70,22364385280.00,219804909568.00
2013-03-06,22118.60,22661.80,21835.40,22334.30,25730455552.00,250515996672.00
2013-03-07,22505.80,22911.80,21868.60,22279.70,25253408768.00,248396496896.00
2013-03-08,21926.10,22268.30,21494.00,21720.80,17645731840.00,173342851072.00
2013-03-11,21135.30,21466.50,20772.90,21120.80,15020339200.00,143408365568.00
2013-03-12,21025.00,21349.00,20220.60,20603.80,20549816320.00,194136752128.00
2013-03-13,20109.10,20379.10,19635.30,19965.90,15529162752.00,145520951296.00
2013-03-14,19378.90,19797.50,19184.60,19494.60,13366807552.00,128672677888.00
2013-03-15,19447.90,20001.00,19091.60,19479.70,18771382272.00,181777448960.00
2013-03-18,19139.80,19473.60,18740.40,18974.00,15413697536.00,150650880000.00
2013-03-19,18643.90,19002.30,18288.90,18740.40,14869005312.00,141659127808.00
2013-03-20,18890.40,19582.80,18766.40,19476.60,20988979200.00,198864404480.00
2013-03-21,19517.70,19936.00,19310.70,19684.20,20215433216.00,195846455296.00
2013-03-22,19432.10,19755.90,19197.50,19504.30,17409587200.00,163987226624.00
2013-03-25,19330.60,19642.90,19007.20,19276.80,16752491520.00,162019966976.00
2013-03-26,19079.60,19335.60,18647.20,18974.20,17460498432.00,168694906880.00
2013-03-27,18788.50,19183.80,18557.60,18851.10,16271490048.00,159335022592.00
2013-03-28,18749.20,18922.30,18122.50,18373.80,20358283264.00,189645783040.00
2013-03-29,18057.90,18373.20,17760.20,18015.00,14131818496.00,134161342464.00
2013-04-01,17780.80,18172.70,17571.30,17894.70,13620045824.00,130987352064.00
2013-04-02,17773.70,18096.00,17378.80,17594.40,15829443584.00,153389694976.00
2013-04-03,17353.60,17600.80,16963.10,17203.60,14365797376.00,134348447744.00
2013-04-08,16814.90,17256.90,16480.80,17109.00,15040031744.00,144257728512.00
2013-04-09,16930.70,17316.80,16776.90,17073.90,14282878976.00,138677993472.00
2013-04-10,16862.90,17119.80,16547.60,16833.70,13828384768.00,136827265024.00
2013-04-11,16577.00,16797.70,16313.90,16460.20,12655671296.00,118300016640.00
2013-04-12,16074.30,16305.60,15813.00,15967.00,11749608448.00,110350958592.00
